Date,Close,High,Low,Open,Volume,Daily_Return,MA_30,Volatility
11-09-2025,1376.933716,1379.123542,1368.671866,1369.667264,9766072,0.004575246,1378.328857,0.010575563
12-09-2025,1388.579834,1389.8739,1374.146567,1376.933729,7403368,0.008458009,1378.013961,0.010669221
15-09-2025,1392.859985,1394.353082,1382.209158,1386.588932,5396697,0.003082395,1378.499394,0.010351574
16-09-2025,1398.832397,1401.519923,1391.764977,1398.235062,8686961,0.004287877,1379.068237,0.010369079
17-09-2025,1407.293335,1409.682192,1400.425066,1400.524582,7519417,0.006048571,1379.330859,0.010164472
18-09-2025,1408.487671,1415.455454,1404.207412,1413.862842,9332642,0.000848676,1380.287642,0.009800938
19-09-2025,1400.922729,1410.478523,1397.14017,1408.388212,13461373,-0.005370967,1380.955904,0.009864045
22-09-2025,1384.199951,1404.20742,1381.611942,1397.438789,7757970,-0.011936974,1381.179106,0.010111837
23-09-2025,1383.403809,1388.579828,1370.463638,1384.598237,14014702,-0.000575164,1382.089604,0.009667011
24-09-2025,1376.63501,1389.57518,1374.047,1378.924473,5922759,-0.004892858,1382.166394,0.00941
25-09-2025,1366.083862,1378.12815,1362.699486,1374.942926,11411143,-0.007664448,1382.083154,0.009485769
26-09-2025,1371.259888,1376.336392,1359.713298,1365.685685,9879109,0.003788951,1382.099748,0.00950707
29-09-2025,1366.481934,1382.607327,1361.703976,1375.24136,14231999,-0.003484353,1382.066565,0.009518816
30-09-2025,1357.722412,1370.762097,1356.527984,1370.762097,14604684,-0.006410272,1381.479281,0.009525278
01-10-2025,1362.400757,1372.255218,1356.428371,1360.708629,12045916,0.00344573,1379.773832,0.007948402
03-10-2025,1357.125244,1365.287457,1350.655159,1356.926092,12842347,-0.003872218,1378.128109,0.007932455
06-10-2025,1368.671875,1371.060854,1352.745511,1353.740909,12396580,0.008508154,1376.475749,0.007938999
07-10-2025,1378.426758,1389.475648,1369.567694,1369.66721,11244040,0.007127262,1375.666162,0.00785553
08-10-2025,1361.106812,1382.607377,1358.220134,1378.426755,8525081,-0.01256501,1374.166431,0.008131705
09-10-2025,1371.458984,1373.648811,1362.798952,1367.676425,8826633,0.007605702,1373.930855,0.007482102
10-10-2025,1375.340942,1381.611996,1368.771342,1371.458989,6373084,0.002830532,1373.791496,0.0075004
13-10-2025,1368.671875,1371.3594,1361.50506,1370.563155,7600682,-0.004849028,1374.3821,0.006486189
14-10-2025,1369.567749,1381.612037,1363.794394,1373.648855,9768174,0.000654557,1375.112061,0.006463268
15-10-2025,1367.975098,1377.630407,1366.382364,1376.635009,10882743,-0.001162886,1375.370866,0.006253844
16-10-2025,1391.864624,1394.05445,1368.671809,1368.771325,12315932,0.017463422,1376.223592,0.006968383
17-10-2025,1410.279541,1416.749626,1392.660928,1394.552208,19335561,0.013230394,1378.131441,0.007052531
20-10-2025,1460.049316,1467.0171,1426.703495,1433.372611,24721978,0.035290716,1381.177356,0.00922682
21-10-2025,1458.456665,1467.216213,1453.280646,1461.243827,2066169,-0.00109082,1384.054053,0.009245953
23-10-2025,1441.734009,1476.075228,1437.951449,1468.211562,18707090,-0.011465995,1386.449646,0.009550787
24-10-2025,1444.919312,1453.081646,1434.36812,1443.326699,9700837,0.002209355,1388.92487,0.009548546
27-10-2025,1477.269653,1478.165536,1451.289799,1456.266787,14113867,0.02238903,1392.269401,0.01025462
28-10-2025,1480.056885,1485.133389,1470.799637,1477.269723,17631577,0.001886745,1395.318636,0.010190687
